"marketName","action","usdcAmount","tokenAmount","tokenName","timestamp","hash"
"Bitcoin Up or Down - March 24, 8:00PM-8:05PM ET","Buy","2.45","5","Down","1774396747","0xdea9d7f0a4e708004e3246a08e0e8689c94696fc89baf8e3686947566dca9673"
"Bitcoin Up or Down - March 24, 7:55PM-8:00PM ET","Buy","2.45","5","Down","1774396477","0x3b046a80fbb0add9eff7d3398d97fabcae934d7be9dab98941e16ed5ce320d1c"
"Bitcoin Up or Down - March 24, 7:50PM-7:55PM ET","Buy","2.45","5","Down","1774396159","0xd009225c4beca999eaaa67987f0ab8fb73b551805394ef7b52f03d561a6a36bb"
"Bitcoin Up or Down - March 24, 7:55PM-8:00PM ET","Buy","2.45","5","Up","1774396145","0xa974a53543a961579b37d35ceff7ae4183d06b6722fe483a35507e78dc16946f"
"Bitcoin Up or Down - March 24, 7:45PM-7:50PM ET","Buy","2.45","5","Down","1774395909","0x986533d8e1327649c066ee5ce81f40a3003f7ab974c93ea3ae3c5d4a07bb7ebd"
"Bitcoin Up or Down - March 24, 7:50PM-7:55PM ET","Buy","2.45","5","Up","1774395623","0xafd80b88742a2324f958bc29eb33534538e92d067de367f1d7e53af785c65bbc"
"Bitcoin Up or Down - March 24, 7:40PM-7:45PM ET","Buy","2.45","5","Down","1774395615","0x246cb73af609947edb7ba54f5bba26652c6f7ab88b305e6269654bc84ebb9231"
"Bitcoin Up or Down - March 24, 7:45PM-7:50PM ET","Buy","2.45","5","Up","1774395545","0x8d7e0b2cb808922b7006ebfcbc0911d60308e2189dcec8dd6c47a51184a24ce6"
"Bitcoin Up or Down - March 24, 7:35PM-7:40PM ET","Buy","2.45","5","Down","1774395315","0x442ad695474ecf00cd4eec229750dc316ca0f52beb82c4ee7f83c6b9f549135b"
"Bitcoin Up or Down - March 24, 7:40PM-7:45PM ET","Buy","2.45","5","Up","1774395245","0xa0758afd2764a1d8fbf0f170ec555c0c31953541b45dd5175afd12e0b5b1f30c"
"Bitcoin Up or Down - March 24, 7:30PM-7:35PM ET","Buy","2.45","5","Down","1774395009","0x37e4353ae34889c8b63b4ee140b8d579065dea0f77423db84ae30a0248ca98e0"
"Bitcoin Up or Down - March 24, 7:35PM-7:40PM ET","Buy","2.45","5","Up","1774394919","0x467ce2948597e6435b0e4cc3a4abb66cb60f591bb07c77ec509c839bbf335dfb"
"Bitcoin Up or Down - March 24, 7:25PM-7:30PM ET","Buy","2.45","5","Down","1774394733","0xe6ee8a4dfa05e9e8c92a2c23a3d22b7f18bd864672f3a46550dbc352c656c7de"
"Bitcoin Up or Down - March 24, 7:30PM-7:35PM ET","Buy","2.45","5","Up","1774394527","0x5c681d499a9e1d56cc5124f89bb6cb4e7397e51086883cfd2805550109d1a857"
"Bitcoin Up or Down - March 24, 7:20PM-7:25PM ET","Buy","2.45","5","Down","1774394453","0x244fc3b7ef5a7d8db0cd65c1477b8c4b8828fec19ab79a105a4f01c7418de6d6"
"Bitcoin Up or Down - March 24, 7:25PM-7:30PM ET","Buy","2.45","5","Up","1774394401","0xb9597b617a545b649eac24f83ac3f791d667a6e99ed183fcb4f8f2c0cae71244"
"Bitcoin Up or Down - March 24, 7:15PM-7:20PM ET","Buy","2.45","5","Down","1774394115","0x703b07928f2b2cd8f222d3a97e4510690a3f96db04acb4fbd3a80e694b521e85"
"Bitcoin Up or Down - March 24, 7:20PM-7:25PM ET","Buy","2.45","5","Up","1774394093","0x9a1f4f2bf4330c4f7dbca9d081da247bcb0c85240d09b354f51ee3151ca52328"
"Bitcoin Up or Down - March 24, 7:15PM-7:20PM ET","Buy","2.45","5","Up","1774393803","0x670bb4e24a41533ec25e2ce5462cfe20f161ffde10f9dc49f9c3638775a0351d"
"Bitcoin Up or Down - March 24, 7:10PM-7:15PM ET","Buy","2.45","5","Down","1774393787","0xb9c662fa986623da9e0ea2c9b0596eebf80dacc9c0111bebd1e100bcf46442bd"
"Bitcoin Up or Down - March 24, 7:10PM-7:15PM ET","Buy","2.45","5","Up","1774393535","0x0382fbfda8b927898bed2b5285e4a221ff266a37ae38142eb5b29090b28241fa"
"Bitcoin Up or Down - March 24, 7:05PM-7:10PM ET","Buy","2.45","5","Down","1774393535","0xb4ed3e4c70a1eb3f662d8df380bb1e31c63ca2182a899b21751b0798c8263a92"
"Bitcoin Up or Down - March 24, 7:00PM-7:05PM ET","Buy","2.45","5","Down","1774393207","0x56b3255c2a99231cba15dbab014eb769798ecb343b3c690bc3b7c039b79874d9"
"Bitcoin Up or Down - March 24, 7:05PM-7:10PM ET","Buy","2.45","5","Up","1774393185","0x123c6eee0a25343eb9f5af49c7b696787d73058f7e32b4e44c048eade5212eeb"
"Bitcoin Up or Down - March 24, 6:55PM-7:00PM ET","Buy","2.45","5","Down","1774392911","0x5f2f080522aba930f80658f87c38df36637df786f79a053822a811880329bad9"
"Bitcoin Up or Down - March 24, 7:00PM-7:05PM ET","Buy","2.45","5","Up","1774392879","0xb3aa60518df6700b87b74c56845e71249399dac544a8f15d87f3115ce64918fc"
"Bitcoin Up or Down - March 24, 6:55PM-7:00PM ET","Buy","1.0829","2.21","Up","1774392765","0xdde8875b432606ab7402bcf94f5e2d4883ab28728f042cb9c2875171c8ee0c90"
"Bitcoin Up or Down - March 24, 6:55PM-7:00PM ET","Buy","1.3671","2.79","Up","1774392765","0xc70551345ed9092b0b579ddf7f5129742df306afded718bc25c9eeb21ce56392"
"Bitcoin Up or Down - March 24, 6:50PM-6:55PM ET","Buy","2.45","5","Up","1774392619","0x0b035fbfae0c1c5bfb777086a96765cb09ab7fa3abcc3fe559ce8b8f4819f005"
"Bitcoin Up or Down - March 24, 6:50PM-6:55PM ET","Buy","2.45","5","Down","1774392365","0x22f7dd3df4cd77eb5796f818f5b2829d7dc7d28ca889b9ada128dffc220312f0"
"Bitcoin Up or Down - March 24, 6:45PM-6:50PM ET","Buy","2.45","5","Down","1774392309","0x66f35d42f9b86082d97e31ab9281bb2d55aaf414eb0a62dd8028fc7b2217137a"
"Bitcoin Up or Down - March 24, 6:45PM-6:50PM ET","Buy","2.45","5","Up","1774392003","0xc5b40c43ffefd40dc475c2b0975c27711ec9d749572c881899db567f1a5d05d9"
"Bitcoin Up or Down - March 24, 6:40PM-6:45PM ET","Buy","2.45","5","Up","1774392001","0x0e942b45d9579a629793d5de8432e213e721368825c8947aa1ac3807dd4c9ce4"
"Bitcoin Up or Down - March 24, 6:35PM-6:40PM ET","Buy","2.45","5","Up","1774391707","0xe8029ac0127f4325fff9187297865bbe4b1ea472cf98facaf317a9aebbb167a5"
"Bitcoin Up or Down - March 24, 6:40PM-6:45PM ET","Buy","2.45","5","Down","1774391645","0xb13116698e326feb4dbb38d80e5bda0cbcad019d41a68a9b2cefa6f3683bc02a"
"Bitcoin Up or Down - March 24, 6:30PM-6:35PM ET","Buy","2.45","5","Down","1774391407","0xa7fc5434a50288490a4c68c20b42ffafe19c4afefe25a7a615cca04b7655fdb1"
"Bitcoin Up or Down - March 24, 6:35PM-6:40PM ET","Buy","2.45","5","Down","1774391345","0xcbd98bd90870bb06ef836a5359d9dfd6a281f2effd65230b69986ea8c161c023"
"Bitcoin Up or Down - March 24, 6:30PM-6:35PM ET","Buy","2.45","5","Up","1774391165","0xd67e75faad4e26e520f57f6a6884527666a612c817dca224cc271b09d960c633"
"Bitcoin Up or Down - March 24, 6:25PM-6:30PM ET","Buy","2.45","5","Up","1774391065","0x583a8028cc24141a05380b7acd1de1839872e6c0c797d851e02f98897ca28e4f"
"Bitcoin Up or Down - March 24, 6:25PM-6:30PM ET","Buy","2.45","5","Down","1774390917","0x27a2c11b490194897a02d929518bf50e0e102e27af6c11a1346e5d12ddef04dd"
"Bitcoin Up or Down - March 24, 6:20PM-6:25PM ET","Buy","2.401","4.9","Down","1774390887","0x104a0f8ab3139dbb29457f8b70ebe0f02e4b5f616a33181bebd561daf902ceeb"
"Bitcoin Up or Down - March 24, 6:20PM-6:25PM ET","Buy","0.048039","0.098038","Down","1774390887","0x2d46396bd459eca2ae9277d3245af2c08e5e63c626060b6051ea82886266f91c"
"Bitcoin Up or Down - March 24, 6:20PM-6:25PM ET","Buy","0.7448","1.52","Up","1774390507","0x51eed98fe024e44b8a8fee519cef199b2af4f752a5abcff5259ba1a36c1ddfcb"
"Bitcoin Up or Down - March 24, 6:20PM-6:25PM ET","Buy","1.702509","3.474508","Up","1774390505","0x20c07b5145a961b3490f0c257668241a93c0c7ab3a828c08a6f33804665460b3"
"Bitcoin Up or Down - March 24, 6:00PM-6:05PM ET","Buy","0.6615","1.35","Down","1774389605","0xfd36a007aa9c7bac1c956d10b2da4e91c0363d7c3f4e9a6b92dd50d0e3fa9578"
"Bitcoin Up or Down - March 24, 6:00PM-6:05PM ET","Buy","1.786578","3.646077","Down","1774389605","0xba156c5813dde4a6e59c86db1695d4555dfe2f19504b7f8688d2cc56daacc645"
"Bitcoin Up or Down - March 24, 5:55PM-6:00PM ET","Buy","2.45","5","Down","1774389309","0x23a0dce7af04837a8e6e7f07e1268629a9ba7aff81c1caa24fa6d51229bd3929"
"Bitcoin Up or Down - March 24, 6:00PM-6:05PM ET","Buy","2.45","5","Up","1774389307","0x791b583ddec71a9cf5c5baefcbc8ccb2c6c0ff0b7517e443b3f00c589bea4d57"
"Bitcoin Up or Down - March 24, 5:55PM-6:00PM ET","Buy","1.1858","2.42","Up","1774389047","0x16b15f9026c6603e88b77b38197142b5f3e7bc3239ef1a0cd241c56f5ca1116d"
"Bitcoin Up or Down - March 24, 5:55PM-6:00PM ET","Buy","1.2642","2.58","Up","1774389043","0x82fa8a7a8483576d68774bf5e2950328ebd9c6d22c791531e44becf793541538"
"Bitcoin Up or Down - March 24, 5:50PM-5:55PM ET","Buy","2.45","5","Up","1774389019","0x92c75401f9987f829ac27aebf24ddb1e44b6c569d83f1d124da0bff59157f619"
"Bitcoin Up or Down - March 24, 5:10PM-5:15PM ET","Buy","2.45","5","Down","1774386559","0x6da3aec3452d6ccc62079c98d3d5dd239bfe48700ace0164f45f539a4dc260f4"
"Bitcoin Up or Down - March 24, 5:05PM-5:10PM ET","Buy","2.45","5","Down","1774386311","0xa8bf1ed785c0b3cfd9528fc7d576d97dfec3fe93d3e4d8e4b3a49e34eaec2bb8"
"Bitcoin Up or Down - March 24, 5:10PM-5:15PM ET","Buy","2.45","5","Up","1774386247","0xaca966cb6b72ed1da26763a987840594a61ba5530d885f05e170b53c8bd40100"
"Bitcoin Up or Down - March 24, 5:05PM-5:10PM ET","Buy","2.45","5","Up","1774386003","0x792473910f803948ded15e6b18c3a0bec1cc47fdf71e19e87a98849742bcab77"
"Bitcoin Up or Down - March 24, 5:00PM-5:05PM ET","Buy","2.45","5","Up","1774385647","0x9abc22af3294a715dd45af2a0b894cd0c917432d112266de9fce3b088d197bb3"
"Bitcoin Up or Down - March 24, 4:55PM-5:00PM ET","Buy","2.45","5","Up","1774385403","0xcea9f09b7a64ab51f96c78f8389f398bd7361e79f645e6012ad84f1248b3b948"
"Bitcoin Up or Down - March 24, 4:55PM-5:00PM ET","Buy","2.45","5","Down","1774385321","0xf7b7fdbb26dd58ba947ac1a967c47aa83595c2a4ee0da463e34f42d969cbebbf"
"Bitcoin Up or Down - March 24, 4:45PM-4:50PM ET","Buy","2.45","5","Down","1774385109","0xc09b73e530b374d94c0ab8e67ebef8df302332a0013f50d74ca3aba8dab3a4de"
"Bitcoin Up or Down - March 24, 4:50PM-4:55PM ET","Buy","2.45","5","Up","1774385045","0xb875ec8d4b50e066b2d67e5e7919b8a756bf2d9f7e63b2883c5e993bed7359ac"
"Bitcoin Up or Down - March 24, 4:50PM-4:55PM ET","Buy","2.45","5","Down","1774384811","0xc1de0cf80399125df273a840ed9f9a4eac0c38478e5b3eaaa1d682df1e2f1be7"
"Bitcoin Up or Down - March 24, 4:45PM-4:50PM ET","Buy","2.45","5","Up","1774384801","0xc6b4f0814d19e6cf9e76c1dcd7277b92941ff7bd6c80be4e420c7ab0240f381b"
