marketName,DOWN,UP,UP_complete,DOWN_complete,hedge_status
"Bitcoin Up or Down - April 1, 10:30AM-10:35AM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - April 1, 10:35AM-10:40AM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - April 1, 1:45PM-1:50PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 1:50PM-1:55PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 1:55PM-2:00PM ET",4.9925,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 2:00PM-2:05PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 2:05PM-2:10PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 2:10PM-2:15PM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - April 1, 2:15PM-2:20PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 2:20PM-2:25PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 2:25PM-2:30PM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - April 1, 2:30PM-2:35PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 2:35PM-2:40PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 3:15PM-3:20PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - April 1, 3:55PM-4:00PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 4:30PM-4:35PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 4:35PM-4:40PM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - April 1, 4:40PM-4:45PM ET",5.0,4.990768,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 4:50PM-4:55PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 4:55PM-5:00PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 5:00PM-5:05PM ET",5.0,4.9998059999999995,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 5:05PM-5:10PM ET",4.9975000000000005,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 5:10PM-5:15PM ET",4.993075,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 5:15PM-5:20PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 5:20PM-5:25PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 5:25PM-5:30PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 5:30PM-5:35PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 5:35PM-5:40PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - April 1, 5:40PM-5:45PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - April 1, 5:45PM-5:50PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 5:50PM-5:55PM ET",4.9982679999999995,0.0,False,True,FAIL
"Bitcoin Up or Down - April 1, 5:55PM-6:00PM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - April 1, 6:00PM-6:05PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 6:05PM-6:10PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 6:10PM-6:15PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 6:15PM-6:20PM ET",4.996922,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 6:20PM-6:25PM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - April 1, 7:15AM-7:20AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 7:20AM-7:25AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 7:25AM-7:30AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 7:30AM-7:35AM ET",4.993845,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 7:35AM-7:40AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 7:40AM-7:45AM ET",5.0,4.993075,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 7:45AM-7:50AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 7:50AM-7:55AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 7:55AM-8:00AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 8:00AM-8:05AM ET",0.0,4.996922,True,False,FAIL
"Bitcoin Up or Down - April 1, 8:05AM-8:10AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 8:10AM-8:15AM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - April 1, 8:15AM-8:20AM ET",4.999229,0.0,False,True,FAIL
"Bitcoin Up or Down - April 1, 8:20AM-8:25AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 8:25AM-8:30AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 8:30AM-8:35AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 8:35AM-8:40AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 8:40AM-8:45AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 8:45AM-8:50AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 8:50AM-8:55AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 8:55AM-9:00AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 9:00AM-9:05AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 1, 9:05AM-9:10AM ET",5.0,5.0,True,True,SUCCESS
